id,latitude,longitude,address,type,icon
1,46.223944,16.352039,Kralja  Zvonimira 37,nadzemni hidrant,plavi,
2,46.223285,16.352001,Pri Gori 2,nadzemni hidrant,plavi,
3,46.224280,16.353671,Stjepan Radic 2,podzemni hidrant,crveni,
4,46.231435,16.347806,Glavic 72,podzemni hidrant,crveni,
5,46.230514,16.347044,Varazdin Breg, Glavic 7 (Pokraj Cesljasa),podzemni hidrant,crveni,
6,46.229501,16.349753,Varazdin Breg, Glavic 112 (ispred Golubica),podzemni hidrant,crveni,
7,46.227590,16.351540,Varazdin Breg, Koradovica b.b.,nadzemni hidrant,plavi,
8,46.227251,16.351226,Varazdin Breg, Koradovica 26 (Hegedusic),nadzemni hidrant,plavi,
9,46.226684,16.351432,Varazdin Breg, Koradovica 22,nadzemni hidrant,plavi,
10,46.224844,16.353230,Vinogradska ulica 4,nadzemni hidrant,plavi,
11,46.225734,16.352612,Koradovica b.b. (pokraj PEPIJA),nadzemni hidrant,plavi,
12,46.223640,16.350650,Ulica kralja Zvonimira 21,podzemni hidrant,plavi,
22,46.226395,16.359801,Dugi Vrh 36C/39,podzemni hidrant,crveni,
13,46.224020,16.349083,Ulica kralja Zvonimira 13,nadzemni hidrant,plavi,
14,46.223790,16.348141,Ulica kralja Zvonimira 3A,nadzemni hidrant,plavi,
15,46.229550,16.351313,Koradovica 5,podzemni hidrant,crveni,
16,46.230703,16.353769,Varazdin Breg, Koradovica 104/106 (nasuprot Nemcevica),podzemni hidrant,crveni,
17,46.234260,16.352413,Varazdin Breg Glavic 40 (malo prije sumice),podzemni hidrant,crveni,
18,46.232934,16.348600,Varazdinbreg Glavic 60,podzemni hidrant,crveni,
19,46.231840,16.354540,Koradovica 126/128,podzemni hidrant,crveni,
20,46.232760,16.354960,Koradovica 144,podzemni hidrant,crveni,
21,46.234840,16.356130,Koradovica 166,podzemni hidrant,crveni,
23,46.227280,16.361060,Dugi Vrh 35 A,podzemni hidrant,crveni,
24,46.228570,16.362537,Dugi Vrh 33,podzemni hidrant,crveni,
25,46.233067,16.364929,Dugi Vrh 20,podzemni hidrant,crveni,
26,46.224540,16.347980,Odvojak Antolic,podzemni hidrant,crveni,
27,46.224859,16.358449,Kralja Zvonimira b.b.,podzemni hidrant,crveni,
28,46.221895,16.353570,Pri Gori 16A,nadzemni hidrant,plavi,
29,46.221244,16.354672,Pri Gori 24, lijevi odvojak,podzemni hidrant,crveni,
30,46.221006,16.352870,Pri Gori 16B, desni odvojak,podzemni hidrant,crveni,
31,46.222333,16.357110,Stjepana Radica 19,nadzemni hidrant,plavi,
32,46.223062,16.358170,Stjepana Radica 33,,nadzemni hidrant,plavi,
33,46.223968,16.358850,Stjepana Radica 40 - 42,nadzemni hidrant,plavi,
34,46.223285,16.360820,Stjepana Radica/Dugi Vrh 52-56,podzemni hidrant,crveni,
35,46.227855,16.374070,Dugi Vrh-Pintariceva graba,podzemni hidrant,crveni,
